Sortation,Noryangjin 1-dong,Noryangjin 2-dong,Sangdo 1-dong,Sangdo 2-dong,Sangdo 3-dong,Sangdo 4-dong,Heukseok dong,Sadang 1-dong,Sadang 2-dong,Sadang 3-dong,Sadang 4-dong,Sadang 5-dong,Daebang dong,Sindaebang 1-dong,Sindaebang 2-dong,Sum
Confirmed,26,10,28,12,15,25,9,17,19,10,6,11,22,25,19,254
Recovery,23,9,27,12,14,23,8,17,18,10,6,10,21,25,17,240
